01025,"BAGE LA VILLE ",3728274,"10,6",395223,"- ","    .     ","- ",3731473,"6,26",233559,"- ","      .   ","- "
01026,"BAGE LE CHATEL ",1014852,"10,73",108895,"- ","    .     ","- ",1007985,"6,26",63098,"- ","      .   ","- "
01027,"BALAN ",1939986,"5,53",107277,"- ","    .     ","- ",2178925,"6,22",135536,1763071,"0,177",3130
01028,"BANEINS ",649005,"14,87",96517,"- ","    .     ","- ",649345,"2,29",14875,651064,"0,177",1150
01029,"BEAUPONT ",666993,"13,6",90709,671539,"0,524",3518,664505,"5,75",38207,"- ","      .   ","- "
01030,"BEAUREGARD ",995692,"10,52",104750,"- ","    .     ","- ",983090,"6,38",62714,832819,"0,177",1477
01031,"BELLIGNAT ",3975504,"12,72",505659,"- ","    .     ","- ",4061732,"7,02",285181,2871065,"0,177",5031
01032,"BELIGNEUX ",2643284,"9,23",243948,"- ","    .     ","- ",3061542,"6,22",190423,2177341,"0,177",3859
01033,"BELLEGARDE/VALS. ",15570802,"19,65",3059539,"- ","    .     ","- ",15578941,"2,63",409734,12920471,"0,177",22992
01034,"BELLEY ",13058380,"18,92",2470729,"- ","    .     ","- ",12943001,"3,62",468559,11286257,"0,177",19974
01035,"BELLEYDOUX ",385869,7,27008,"- ","    .     ","- ",420099,"7,02",29491,385869,"0,177",679
01036,"BELMONT LUTHEZIEU ",794795,"12,58",99983,"- ","    .     ","- ",799169,"5,84",46676,"- ","      .   ","- "
01037,"BENONCES ",348021,"11,85",41238,"- ","    .     ","- ",348721,"4,54",15830,"- ","      .   ","- "
01038,"BENY ",696234,"15,88",110563,693421,"0,61",4217,716096,"5,75",41182,"- ","      .   ","- "
01039,"BEON ",694689,"10,11",70229,"- ","    .     ","- ",694816,"3,62",25152,"- ","      .   ","- "
01040,"BEREYZIAT ",438608,"5,27",23115,"- ","    .     ","- ",387065,"14,58",56433,441944,"0,177",778
01041,"BETTANT ",1123900,"7,77",87323,"- ","    .     ","- ",1119034,"6,3",70505,1121113,"0,177",1982
01042,"BEY ",342444,"11,71",40099,"- ","    .     ","- ",341164,"7,19",24528,335342,"0,177",598
01043,"BEYNOST ",8740134,"8,25",721094,"- ","    .     ","- ",8992089,"6,28",564712,8493029,"0,177",15050
01044,"BILLIAT ",659893,"13,95",92048,"- ","    .     ","- ",653638,"2,63",17182,581215,"0,177",1024
01045,"BIRIEUX ",327588,12,39312,"- ","    .     ","- ",335335,"6,82",22870,327588,"0,177",583
01046,"BIZIAT ",802904,"16,01",128548,"- ","    .     ","- ",803145,"3,01",24170,"- ","      .   ","- "
01047,"BLYES ",1207875,"3,7",44683,"- ","    .     ","- ",1214797,"6,3",76529,1186833,"0,177",2097
01049,"LA BOISSE ",4611002,"6,43",296478,"- ","    .     ","- ",4749390,"6,22",295416,4573668,"0,177",8081
01050,"BOISSEY ",284184,"17,89",50829,"- ","    .     ","- ",283302,"6,83",19352,286745,"0,177",507
01051,"BOLOZON ",116529,"9,04",10537,"- ","    .     ","- ",119122,"7,02",8361,112989,"0,177",194
01052,"BOULIGNEUX ",411179,"8,75",35974,"- ","    .     ","- ",410417,"6,82",27985,407792,"0,177",720
01053,"BOURG-EN-BRESSE ",49885142,"21,36",10655326,"- ","    .     ","- ",63803980,"6,66",4249624,40456919,"0,177",71750
01054,"BOURG ST CHRISTOPHE ",1603483,"10,5",168359,"- ","    .     ","- ",1609197,"6,3",101379,1603483,"0,177",2834
01056,"BOYEUX ST JEROME ",319465,"18,64",59554,"- ","    .     ","- ",294822,"6,59",19428,319465,"0,177",567
01057,"BOZ ",569542,"12,66",72101,"- ","    .     ","- ",569694,"6,83",38926,560383,"0,177",990
01058,"BREGNIER CORDON ",795478,"10,37",82490,"- ","    .     ","- ",784321,"3,62",28401,"- ","      .   ","- "
01059,"BRENAZ ",99145,"13,82",13703,"- ","    .     ","- ",98818,"5,84",5771,"- ","      .   ","- "
01060,"BRENOD ",940057,"7,1",66747,"- ","    .     ","- ",948802,"7,02",66606,898199,"0,177",1590
01061,"BRENS ",1774426,"10,7",189870,"- ","    .     ","- ",1759918,"3,62",63697,1762746,"0,177",3118
01062,"BRESSOLLES ",877688,"9,76",85664,"- ","    .     ","- ",1035472,"6,22",64398,875122,"0,177",1554
01063,"BRION ",626774,"6,72",42125,"- ","    .     ","- ",698871,"7,02",49064,621326,"0,177",1103
01064,"BRIORD ",1040287,"12,12",126082,"- ","    .     ","- ",1025458,"4,54",46566,"- ","      .   ","- "
01065,"BUELLAS ",2391790,"14,16",338691,"- ","    .     ","- ",2307339,"6,66",153668,2227944,"0,177",3942
01066,"LA BURBANCHE ",112548,"8,25",9281,"- ","    .     ","- ",112866,"3,62",4090,"- ","      .   ","- "
01067,"CEIGNES ",227715,"9,2",20948,"- ","    .     ","- ",216360,"7,02",15193,210834,"0,177",372
01068,"CERDON ",757689,14,106083,"- ","    .     ","- ",724338,"6,59",47732,696395,"0,177",1243
01069,"CERTINES ",1548225,"13,25",205142,"- ","    .     ","- ",1832296,"6,27",114893,1393104,"0,177",2464
01071,"CESSY ",9057485,"11,81",1069686,"- ","    .     ","- ",9063597,"3,24",293654,8358882,"0,177",14807
01072,"CEYZERIAT ",5343092,"10,19",544463,"- ","    .     ","- ",5423465,"6,29",341122,5017971,"0,177",8879
