code_insee, nom_commune, base_nette_commune, taux_commune, produit_commune, base_nette_syndicat, taux_syndicat, produit_syndicat, base_nette_interco, taux_interco, produit_interco, base_nette_tse, taux_tse, produit_tse
56010,"BAUD ","- ","       .  ","- ","- ","    .     ","- ",2392718,"25,59",612326,2392718,"0,773",18475
56011,"BEGANNE ","- ","       .  ","- ","- ","    .     ","- ",71307,"25,76",18368,71307,"0,773",555
56012,"BEIGNON ","- ","       .  ","- ","- ","    .     ","- ",1015538,"25,76",261602,1015538,"0,773",7856
56013,"BELZ ","- ","       .  ","- ","- ","    .     ","- ",639826,"20,6",131799,639826,"0,773",4966
56014,"BERNE ","- ","       .  ","- ","- ","    .     ","- ",155431,"20,65",32087,155431,"0,773",1204
56015,"BERRIC ","- ","       .  ","- ","- ","    .     ","- ",685461,"21,92",150266,685461,"0,773",5307
56016,"BIEUZY ","- ","       .  ","- ","- ","    .     ","- ",52898,"25,59",13537,52898,"0,773",410
56017,"BIGNAN ","- ","       .  ","- ","- ","    .     ","- ",1445495,"25,22",364545,1445495,"0,773",11177
56018,"BILLIERS ","- ","       .  ","- ","- ","    .     ","- ",207531,"21,51",44650,207531,"0,773",1608
56019,"BILLIO ","- ","       .  ","- ","- ","    .     ","- ",5162,"25,22",1302,5162,"0,773",40
56020,"BOHAL ","- ","       .  ","- ","- ","    .     ","- ",53628,"22,51",12075,53628,"0,773",415
56021,"BRANDERION ","- ","       .  ","- ","- ","    .     ","- ",103195,"24,79",25587,103195,"0,773",798
56022,"BRANDIVY ","- ","       .  ","- ","- ","    .     ","- ",42182,"22,66",9556,42182,"0,773",326
56023,"BRECH ","- ","       .  ","- ","- ","    .     ","- ",615427,"21,39",131652,615427,"0,773",4768
56024,"BREHAN ","- ","       .  ","- ","- ","    .     ","- ",367675,"20,98",77140,367675,"0,773",2861
56025,"BRIGNAC ","- ","       .  ","- ","- ","    .     ","- ",3295,"21,92",722,3295,"0,773",26
56026,"BUBRY ","- ","       .  ","- ","- ","    .     ","- ",273977,"22,34",61203,273977,"0,773",2107
56027,"BULEON ","- ","       .  ","- ","- ","    .     ","- ",80212,"25,22",20232,80212,"0,773",621
56028,"CADEN ","- ","       .  ","- ","- ","    .     ","- ",184957,"21,92",40543,184957,"0,773",1436
56029,"CALAN ","- ","       .  ","- ","- ","    .     ","- ",197058,"22,34",44024,197058,"0,773",1523
56030,"CAMOEL ","- ","       .  ","- ","- ","    .     ","- ",128127,"26,14",33490,128127,"0,773",995
56031,"CAMORS ","- ","       .  ","- ","- ","    .     ","- ",199674,"21,39",42714,199674,"0,773",1545
56032,"CAMPENEAC ","- ","       .  ","- ","- ","    .     ","- ",192172,"25,81",49598,192172,"0,773",1474
56033,"CARENTOIR ","- ","       .  ","- ","- ","    .     ","- ",666459,"18,63",124148,666459,"0,773",5158
56034,"CARNAC ","- ","       .  ","- ","- ","    .     ","- ",2368153,"21,81",516475,2368153,"0,773",18263
56035,"CARO ","- ","       .  ","- ","- ","    .     ","- ",29228,"22,51",6584,29228,"0,773",227
56036,"CAUDAN ","- ","       .  ","- ","- ","    .     ","- ",5545935,"24,79",1374900,5545935,"0,773",42846
56037,"LA CHAPELLE CARO ","- ","       .  ","- ","- ","    .     ","- ",608777,"22,51",137040,608777,"0,773",4706
56038,"LA CHAPELLE GACELINE ","- ","       .  ","- ","- ","    .     ","- ",89609,"18,63",16692,89609,"0,773",694
56039,"LA CHAPELLE NEUVE ","- ","       .  ","- ","- ","    .     ","- ",31136,"25,22",7849,31136,"0,773",240
56040,"CLEGUER ","- ","       .  ","- ","- ","    .     ","- ",420628,"24,79",104283,420628,"0,773",3247
56041,"CLEGUEREC ","- ","       .  ","- ","- ","    .     ","- ",944919,"20,98",198247,944919,"0,773",7324
56042,"COLPO ","- ","       .  ","- ","- ","    .     ","- ",169743,"22,66",38459,169743,"0,773",1303
56043,"CONCORET ","- ","       .  ","- ","- ","    .     ","- ",36953,"21,92",8101,36953,"0,773",289
56044,"COURNON ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","18,63","N.C. ","N.C. ","0,773","N.C. "
56045,"LE COURS ","- ","       .  ","- ","- ","    .     ","- ",25284,"21,92",5547,25284,"0,773",199
56046,"CRACH ","- ","       .  ","- ","- ","    .     ","- ",1059636,"19,33",204804,1059636,"0,773",8197
56047,"CREDIN ","- ","       .  ","- ","- ","    .     ","- ",500058,"20,98",104915,500058,"0,773",3873
56048,"LE CROISTY ","- ","       .  ","- ","- ","    .     ","- ",35510,"20,65",7325,35510,"0,773",276
56049,"CROIXANVEC ","- ","       .  ","- ","- ","    .     ","- ",8838,"20,98",1854,8838,"0,773",68
56050,"LA CROIX HELLEAN ","- ","       .  ","- ","- ","    .     ","- ",57570,"22,81",13129,57570,"0,773",445
56051,"CRUGUEL ","- ","       .  ","- ","- ","    .     ","- ",148032,"22,81",33762,148032,"0,773",1144
56052,"DAMGAN ","- ","       .  ","- ","- ","    .     ","- ",499042,"21,51",107361,499042,"0,773",3868
56053,"ELVEN ","- ","       .  ","- ","- ","    .     ","- ",1785030,"24,01",428572,1785030,"0,773",13790
56054,"ERDEVEN ","- ","       .  ","- ","- ","    .     ","- ",596545,"20,6",122880,596545,"0,773",4637
56055,"ETEL ","- ","       .  ","- ","- ","    .     ","- ",262142,"20,6",53996,262142,"0,773",2042
56056,"EVRIGUET ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","19,12","N.C. ","N.C. ","0,773","N.C. "
56057,"LE FAOUET ","- ","       .  ","- ","- ","    .     ","- ",1646960,"20,65",340068,1646960,"0,773",12735
56058,"FEREL ","- ","       .  ","- ","- ","    .     ","- ",524270,"26,14",137033,524270,"0,773",4065
56059,"LES FORGES ","- ","       .  ","- ","- ","    .     ","- ",18840,"22,81",4294,18840,"0,773",146
56060,"LES FOUGERETS ","- ","       .  ","- ","- ","    .     ","- ",292961,"18,63",54576,292961,"0,773",2263
